Root(s) of nonlinear function (Tolerance 10^-6)


f(x) = log(x/2) - sin(5x/2)

Method         Result     No. of iterations

Intial Bracket: (1.5,2.5)

Bisection :     3.0   1.0
Bisection :     2.75   2.0
Bisection :     2.625   3.0
Bisection :     2.5625   4.0
Bisection :     2.59375   5.0
Bisection :     2.609375   6.0
Bisection :     2.6171875   7.0
Bisection :     2.6210938   8.0
Bisection :     2.6230469   9.0
Bisection :     2.6240234   10.0
Bisection :     2.6235352   11.0
Bisection :     2.623291   12.0
Bisection :     2.6231689   13.0
Bisection :     2.6231079   14.0
Bisection :     2.6231384   15.0
Bisection :     2.6231537   16.0
Bisection :     2.6231461   17.0
Bisection :     2.6231422   18.0
Bisection :     2.6231403   19.0
Bisection :     2.6231403   20.0

Regula falsi:   2.25   1.0
Regula falsi:   2.75   2.0
Regula falsi:   2.5812323   3.0
Regula falsi:   2.5622274   4.0
Regula falsi:   2.5615881   5.0
Regula falsi:   2.5615707   6.0
Regula falsi:   2.6231408   7.0


Intial Bracket: (1,4)

Bisection :     1.75   1.0
Bisection :     1.375   2.0
Bisection :     1.5625   3.0
Bisection :     1.46875   4.0
Bisection :     1.421875   5.0
Bisection :     1.3984375   6.0
Bisection :     1.4101562   7.0
Bisection :     1.4042969   8.0
Bisection :     1.4013672   9.0
Bisection :     1.402832   10.0
Bisection :     1.4020996   11.0
Bisection :     1.4017334   12.0
Bisection :     1.4019165   13.0
Bisection :     1.4020081   14.0
Bisection :     1.4019623   15.0
Bisection :     1.4019394   16.0
Bisection :     1.4019279   17.0
Bisection :     1.4019337   18.0
Bisection :     1.4019308   19.0
Bisection :     1.4019294   20.0
Bisection :     1.4019301   21.0
Bisection :     1.4019297   22.0
Bisection :     1.4019301   22.0

Regula falsi:   1.7661493   1.0
Regula falsi:   1.6686053   2.0
Regula falsi:   1.4609433   3.0
Regula falsi:   1.2648978   4.0
Regula falsi:   1.2067793   5.0
Regula falsi:   1.2012812   6.0
Regula falsi:   1.2009811   7.0
Regula falsi:   1.2009658   8.0
Regula falsi:   1.40193   9.0


Intial Bracket: (3,4)

Bisection :     3.75   1.0
Bisection :     3.625   2.0
Bisection :     3.5625   3.0
Bisection :     3.53125   4.0
Bisection :     3.515625   5.0
Bisection :     3.5234375   6.0
Bisection :     3.5273438   7.0
Bisection :     3.5292969   8.0
Bisection :     3.5283203   9.0
Bisection :     3.5288086   10.0
Bisection :     3.5285645   11.0
Bisection :     3.5284424   12.0
Bisection :     3.5283813   13.0
Bisection :     3.5284119   14.0
Bisection :     3.5284271   15.0
Bisection :     3.5284195   16.0
Bisection :     3.5284233   17.0
Bisection :     3.5284252   18.0
Bisection :     3.5284252   19.0

Regula falsi:   3.6504588   1.0
Regula falsi:   3.7391525   2.0
Regula falsi:   3.7609372   3.0
Regula falsi:   3.7638507   4.0
Regula falsi:   3.7641736   5.0
Regula falsi:   3.7642084   6.0
Regula falsi:   3.7642122   7.0
Regula falsi:   3.5284248   8.0


Therefore, Regula falsi converges to the root faster.
The function has multiple roots.
